Country Name,Region,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Iceland,Northern Europe,2016,61757.94931,335439.0,314424.0,220677.0,47188.0,1.63,1.86,1.69,1.85,5315618576.0,4482462409.0,3237317078.0,5386554984.0,17856790.83,99.53414,41022.0,1792000.0,120.8927593,38.53723292,74715.94595,105225068.8,100250.0
Italy,Western Europe,2016,30936.12544,60627498.0,42351339.0,38898890.0,13480439.0,1.44,2.01,1.61,2.14,384999000000.0,450758000000.0,105174000000.0,100844000000.0,2368067166.0,99.42546,277671.0,52372000.0,141.6939815,25.65528181,5536.655503,4680064924.0,294140.0
Latvia,Northern Europe,2016,14153.41492,1959537.0,1332897.0,1275492.0,385634.0,1.07,1.49,1.16,1.48,13750274863.0,11662773776.0,2730783067.0,5091324581.0,545693973.0,99.19855,42392.0,1793000.0,134.240928,26.29605129,3839.856615,36455711.91,62180.0
Lithuania,Northern Europe,2016,14999.47964,2868231.0,1932212.0,1904208.0,544058.0,1.05,1.5,1.16,1.57,26212569164.0,24247689177.0,5093028787.0,7576747610.0,1208075118.0,102.8918,9719.0,2296000.0,145.513378,29.68486173,3844.721282,66926847.32,62642.00195
Luxembourg,Western Europe,2016,104278.391,582014.0,526490.0,405770.0,81728.0,1.03,1.39,1.19,1.52,22042832172.0,19757472983.0,74530921646.0,99533671323.0,37268957.6,100.7898,48255.0,1054000.0,131.8915037,35.06173351,14163.57247,4177784870.0,2430.0
Malta,Western Europe,2016,25151.51962,455356.0,430220.0,302415.0,88244.0,1.22,1.7,1.36,1.8,5036561534.0,2854300804.0,10774292148.0,14536183466.0,221177391.2,103.9727,12305.0,1966000.0,134.252242,39.27176752,5899.230114,675741853.1,320.0
Mexico,North America,2016,8739.756043,123333376.0,98145001.0,81180234.0,8477098.0,0.72,1.02,0.73,1.03,387375000000.0,374305000000.0,33179025051.0,24213162696.0,26993281568.0,106.2777,555984.0,35079000.0,90.59237542,13.03147414,2653.520541,276717753.0,1943950.0
Moldova,Eastern Europe,2016,2272.405707,3551954.0,1509971.0,2621290.0,369971.0,0.69,1.16,0.8,1.21,3636470000.0,1557780000.0,839980000.0,1066690000.0,749630000.0,91.75292,9625.0,121000.0,93.17465849,13.70884816,630.3033395,19100000.0,32890.0
Netherlands,Western Europe,2016,46007.85292,17030314.0,15435425.0,11078547.0,3128751.0,1.34,1.8,1.68,2.15,392969000000.0,465613000000.0,150360000000.0,157672000000.0,171591575.7,103.2868,334240.0,15828000.0,123.0177086,42.29948305,7496.352554,37628021899.0,33690.0
Panama,North America,2016,14356.32405,4037078.0,2705932.0,2610791.0,311982.0,0.61,0.85,0.74,0.96,20693756500.0,12932849900.0,4907040400.0,12273620700.0,426086200.0,93.12198,143126.0,1921000.0,127.3636031,10.64955891,2638.053559,47000000.0,74340.0
Romania,Eastern Europe,2016,9567.097782,19702332.0,10619557.0,13230962.0,3432483.0,1.14,1.71,1.16,1.59,68001568315.0,57721740110.0,11372316696.0,19918834755.0,2711839081.0,86.90768,46733.0,10223000.0,115.6782699,22.47896512,2549.079908,807871164.1,230080.0
Russian Federation,Eastern Europe,2016,8745.375117,144342396.0,107050095.0,99343826.0,20040465.0,0.55,0.75,0.59,0.81,191494000000.0,281709000000.0,74602240000.0,50643600000.0,3029620000.0,99.81439,746446.0,24571000.0,157.718498,18.94519321,6838.977107,4997360000.0,16376870.0
Serbia,Eastern Europe,2016,5756.381194,7058322.0,3939250.0,4700815.0,1229782.0,1.21,1.66,1.16,1.55,17630011650.0,14179913202.0,4052758934.0,5055583622.0,2977769918.0,100.5713,31958.0,1281000.0,102.7161171,16.38766731,4298.32213,199746134.6,87460.0
Slovak Republic,Eastern Europe,2016,16505.99806,5430798.0,2922095.0,3811923.0,790078.0,1.16,1.61,1.32,1.77,72376549064.0,73784959375.0,8815180024.0,9243362022.0,247295468.4,97.85217,85.0,2027000.0,128.4435529,24.55972553,5077.443527,686313614.3,48080.0
Slovenia,Western Europe,2016,21622.58068,2065042.0,1115536.0,1378214.0,381635.0,1.21,1.68,1.32,1.78,25949923131.0,27655650425.0,5061812630.0,7194260366.0,59456434.87,99.83801,17825.0,3397000.0,115.0200317,28.41168445,7512.936199,224388233.9,20141.99951
United Kingdom,Northern Europe,2016,41074.16728,65595565.0,54369540.0,42146413.0,11911088.0,1.49,1.99,1.46,1.92,583762000000.0,402603000000.0,226432000000.0,364033000000.0,2725130995.0,101.3352,1180312.0,35814000.0,119.0555562,38.38070604,5100.587896,11821309424.0,241930.0
Albania,Eastern Europe,2014,4578.66672,2889104.0,1630119.0,1981897.0,351912.0,1.71,1.79,1.76,1.81,4170432937.0,1239878797.0,2068770733.0,2492332715.0,1089767187.0,104.108,1992.0,3341000.0,115.9979353,7.180321133,2309.366503,21881927.42,27400.0
Austria,Western Europe,2014,51717.49594,8546356.0,4916377.0,5740266.0,1594717.0,1.55,1.81,1.6,1.81,166436000000.0,167468000000.0,55204948406.0,68626265902.0,371381631.7,101.6282,162576.0,25291000.0,150.345714,27.38179226,8355.841952,1777037546.0,82522.99805
Belarus,Eastern Europe,2014,8318.51269,9474511.0,7266287.0,6618651.0,1345662.0,1.06,0.9,1.06,0.88,38058700000.0,35423300000.0,5761000000.0,7952300000.0,521900000.0,98.30412,21168.0,5374900.0,120.8889669,28.46079751,3679.97884,237300000.0,202973.0078
Belgium,Western Europe,2014,47700.54036,11209057.0,10966157.0,7291041.0,2015071.0,1.69,1.98,1.9,2.09,317989000000.0,310964000000.0,117587000000.0,125407000000.0,246903642.6,103.6481,132976.5296,7887000.0,113.4877626,35.74653262,7709.123078,3404143477.0,30280.0
Bulgaria,Eastern Europe,2014,7864.760672,7223938.0,5320503.0,4785445.0,1420362.0,1.51,1.68,1.49,1.69,31577860000.0,27891560000.0,5625240000.0,9024080000.0,1098730000.0,96.66216,11755.0,7311000.0,130.9327974,20.43832945,4708.927458,229820000.0,108560.0
Costa Rica,North America,2014,10547.15186,4795396.0,3641672.0,3313657.0,402137.0,1.21,1.36,1.44,1.57,14784329141.0,9455567011.0,2566783623.0,7106117782.0,558505384.4,111.7729,50239.0,2527000.0,146.3990044,10.76734852,1942.48817,454698564.8,51060.0
Croatia,Eastern Europe,2014,13600.18618,4238389.0,2370234.0,2814383.0,801329.0,1.59,1.7,1.66,1.77,21434053053.0,12949698925.0,3968859429.0,13595432728.0,1155012062.0,100.996,25161.0,11623000.0,104.8370208,23.13434905,3714.382988,275923004.8,55960.0
Czech Republic,Western Europe,2014,19744.55861,10525347.0,7723921.0,7116772.0,1840977.0,1.6,1.87,1.67,1.93,135908000000.0,146629000000.0,22356403335.0,25071891761.0,735382548.4,98.66823,48975.0,8096000.0,131.365859,28.27672043,6258.891037,1343830327.0,77220.0
