Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"International tourism, number of arrivals",ST.INT.ARVL,Ukraine,UKR,..,6431000,21203000,21415000,23013000,24671000,12712000,12428000,13333000,14230000,14104000,..
"International tourism, number of arrivals",ST.INT.ARVL,United Arab Emirates,ARE,..,3907000,..,..,..,..,16232000,17472000,18967000,20394000,21286000,..
"International tourism, number of arrivals",ST.INT.ARVL,United Kingdom,GBR,..,23212000,28295000,29306000,29282000,31063000,32613000,34436000,35814000,37651000,36316000,..
"International tourism, number of arrivals",ST.INT.ARVL,United States,USA,..,51238000,60010000,63477410,66966900,71642910,75379350,77773520,76407480,77186740,79745920,..
"International tourism, number of arrivals",ST.INT.ARVL,Uruguay,URY,..,1968000,2353000,2857000,2695000,2683000,2682000,2773000,3037000,3674000,3469000,..
"International tourism, number of arrivals",ST.INT.ARVL,Uzbekistan,UZB,..,302000,975000,1393000,1895000,1969000,1862000,1918000,2027000,2690000,5346000,..
"International tourism, number of arrivals",ST.INT.ARVL,Vanuatu,VUT,..,58000,97200,94000,108200,110000,109000,90000,95100,109000,116000,..
"International tourism, number of arrivals",ST.INT.ARVL,"Venezuela, RB",VEN,..,469000,526000,595000,988000,986000,857000,789000,601000,427000,..,..
"International tourism, number of arrivals",ST.INT.ARVL,Vietnam,VNM,..,2140000,5050000,6014000,6848000,7572000,7874000,7944000,10013000,12922000,15498000,..
"International tourism, number of arrivals",ST.INT.ARVL,Virgin Islands (U.S.),VIR,..,546000,572000,567000,619000,590000,615000,642000,667000,535000,381000,..
"International tourism, number of arrivals",ST.INT.ARVL,West Bank and Gaza,PSE,..,310000,522000,449000,490000,545000,556000,432000,400000,503000,606000,..
"International tourism, number of arrivals",ST.INT.ARVL,"Yemen, Rep.",YEM,..,73000,1025000,829000,874000,990000,1017500,366700,..,..,..,..
"International tourism, number of arrivals",ST.INT.ARVL,Zambia,ZMB,..,457000,815000,920000,859000,915000,947000,932000,956000,1083000,1072000,..
"International tourism, number of arrivals",ST.INT.ARVL,Zimbabwe,ZWE,..,1967000,2239000,2423000,1794000,1833000,1880000,2057000,2168000,2423000,2580000,..
