Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Urban population,SP.URB.TOTL,Libya,LBY,3359573,4092732,4837400,4890308,4935068,4977662,5026582,5087798,5163867,5252536,5349666,..
Urban population,SP.URB.TOTL,Liechtenstein,LIE,4873,5021,5206,5230,5260,5294,5328,5359,5386,5411,5436,..
Urban population,SP.URB.TOTL,Lithuania,LTU,2499110,2344199,2067653,2020994,1997745,1981238,1967853,1952971,1932212,1909625,1887928,..
Urban population,SP.URB.TOTL,Luxembourg,LUX,309096,367434,448892,460842,473864,486709,500042,513663,526490,541038,552917,..
Urban population,SP.URB.TOTL,"Macao SAR, China",MAC,342993,427782,538219,550832,564039,577372,590208,602085,612836,622585,631636,..
Urban population,SP.URB.TOTL,Madagascar,MDG,2733334,4276115,6755411,7084184,7425118,7778813,8146532,8528703,8926129,9338873,9767237,..
Urban population,SP.URB.TOTL,Malawi,MWI,1087160,1628834,2260037,2344862,2434416,2528898,2627829,2731661,2839905,2953407,3072933,..
Urban population,SP.URB.TOTL,Malaysia,MYS,8977771,14375105,20002882,20516662,21009012,21491648,21974918,22464989,22964507,23467810,23973075,..
Urban population,SP.URB.TOTL,Maldives,MDV,57664,77410,133252,140209,148038,156616,165767,175274,185231,195483,205288,..
Urban population,SP.URB.TOTL,Mali,MLI,1970689,3103974,5417617,5709214,6008132,6316419,6637537,6973942,7326841,7695972,8080546,..
Urban population,SP.URB.TOTL,Malta,MLT,320102,360316,389936,391879,395713,401597,409992,420192,430220,442474,457477,..
Urban population,SP.URB.TOTL,Marshall Islands,MHL,30752,34806,41467,41854,42253,42673,43104,43545,44010,44492,44996,..
Urban population,SP.URB.TOTL,Mauritania,MRT,799966,1001877,1627876,1709106,1793972,1882254,1973428,2067215,2163456,2262227,2363349,..
Urban population,SP.URB.TOTL,Mauritius,MUS,464802,506439,519604,519046,519081,518842,518383,517668,516887,516481,516155,..
Urban population,SP.URB.TOTL,Mexico,MEX,59951345,73899942,88781439,90370891,91948801,93515787,95072126,96615320,98145001,99655905,101149488,..
Urban population,SP.URB.TOTL,"Micronesia, Fed. Sts.",FSM,24863,23983,22947,23075,23330,23680,24067,24453,24827,25199,25573,..
Urban population,SP.URB.TOTL,Moldova,MDA,1728324,1622858,1518144,1516162,1514860,1513351,1511326,1510140,1509971,1510431,1511574,..
Urban population,SP.URB.TOTL,Monaco,MCO,29438,32147,35612,36024,36460,36901,37322,37718,38070,38392,38682,..
Urban population,SP.URB.TOTL,Mongolia,MNG,1245683,1369717,1837752,1882821,1921643,1962414,2004066,2045835,2087402,2128673,2169849,..
Urban population,SP.URB.TOTL,Montenegro,MNE,291283,354162,397301,399777,402174,404636,407105,409418,411597,413735,415807,..
Urban population,SP.URB.TOTL,Morocco,MAR,12004579,15357109,18764987,19203936,19659923,20128269,20602941,21078590,21553495,22027667,22501278,..
Urban population,SP.URB.TOTL,Mozambique,MOZ,3246823,5153817,7490100,7821266,8166385,8527058,8905226,9302449,9719886,10157505,10615007,..
Urban population,SP.URB.TOTL,Myanmar,MMR,10434244,12625999,14616046,14825521,15046733,15274176,15501259,15729411,15957065,16186666,16423490,..
Urban population,SP.URB.TOTL,Namibia,NAM,396284,580956,881791,919553,958967,999630,1041822,1085690,1130940,1177396,1224911,..
Urban population,SP.URB.TOTL,Nauru,NRU,9505,10337,10005,10057,10279,10821,11853,12475,13049,12876,12704,..
Urban population,SP.URB.TOTL,Nepal,NPL,1673891,3207391,4529575,4626249,4711890,4795425,4892217,5013179,5163803,5341981,5544546,..
Urban population,SP.URB.TOTL,Netherlands,NLD,10269295,12229998,14477657,14669707,14842886,14987369,15126226,15275237,15435425,15602670,15764657,..
Urban population,SP.URB.TOTL,New Caledonia,NCL,101816,132030,167587,171852,176182,180545,184770,188988,193090,196963,200782,..
Urban population,SP.URB.TOTL,New Zealand,NZL,2821739,3318432,3748563,3774624,3798063,3830023,3891014,3967973,4054925,4145094,4227814,..
Urban population,SP.URB.TOTL,Nicaragua,NIC,2215050,2797494,3314883,3371403,3428526,3486214,3544357,3602945,3661978,3722307,3783748,..
Urban population,SP.URB.TOTL,Niger,NER,1233527,1834126,2670629,2775330,2884956,2999170,3120561,3249670,3386502,3532004,3686254,..
Urban population,SP.URB.TOTL,Nigeria,NGA,28259055,42603693,68917190,72230098,75664328,79214937,82878551,86652532,90531047,94518555,98611179,..
Urban population,SP.URB.TOTL,North Macedonia,MKD,1153600,1191346,1182165,1183224,1184931,1187282,1190233,1193701,1197739,1202311,1207345,..
Urban population,SP.URB.TOTL,Northern Mariana Islands,MNP,41054,51795,49086,49166,49482,49958,50479,50959,51380,51771,52114,..
Urban population,SP.URB.TOTL,Norway,NOR,3051994,3414033,3867496,3935476,4008535,4078226,4145335,4207493,4265348,4320306,4370935,..
Urban population,SP.URB.TOTL,Oman,OMN,1197875,1623166,2285972,2476792,2713211,2969753,3227648,3471488,3695356,3898855,4082797,..
Urban population,SP.URB.TOTL,Pakistan,PAK,32914428,46947759,62793242,64539555,66312625,68114463,69956952,71845558,73782310,75761710,77810763,..
Urban population,SP.URB.TOTL,Palau,PLW,10479,13438,13433,13399,13441,13532,13663,13807,13963,14133,14313,..
Urban population,SP.URB.TOTL,Panama,PAN,1331915,1884803,2372846,2425411,2478846,2533383,2589342,2646822,2705932,2766526,2828119,..
Urban population,SP.URB.TOTL,Papua New Guinea,PNG,692099,772115,951755,971386,990657,1010776,1032121,1054984,1079465,1105551,1133366,..
Urban population,SP.URB.TOTL,Paraguay,PRY,2056550,2945380,3702639,3774036,3846935,3918991,3990997,4063413,4136264,4209509,4283896,..
Urban population,SP.URB.TOTL,Peru,PER,15207438,19326872,22185851,22421443,22662393,22922695,23221633,23571246,23979736,24438508,24921870,..
Urban population,SP.URB.TOTL,Philippines,PHL,29082060,35981496,42597021,43505397,44437841,45385009,46329521,47262079,48177810,49096983,50027217,..
Urban population,SP.URB.TOTL,Poland,POL,23350476,23611695,23165018,23134846,23086831,23025350,22960228,22897449,22849639,22824769,22809156,..
Urban population,SP.URB.TOTL,Portugal,PRT,4783459,5597602,6403809,6457743,6494283,6520333,6546012,6578828,6617169,6659350,6704840,..
Urban population,SP.URB.TOTL,Puerto Rico,PRI,3287359,3596716,3491721,3449657,3406460,3366210,3310445,3251717,3188547,3111769,2989960,..
Urban population,SP.URB.TOTL,Qatar,QAT,441919,570612,1828501,2007410,2167459,2308185,2431360,2538642,2628228,2699602,2757615,..
Urban population,SP.URB.TOTL,Romania,ROU,12347321,11895672,10898688,10871606,10826124,10778604,10730940,10677968,10619557,10564709,10515536,..
Urban population,SP.URB.TOTL,Russian Federation,RUS,108837430,107528575,105261473,105407907,105669949,105998510,106354643,106703732,107050095,107349518,107539347,..
Urban population,SP.URB.TOTL,Rwanda,RWA,394766,1184181,1700061,1743484,1787432,1832232,1880560,1933197,1990234,2051735,2117287,..
Urban population,SP.URB.TOTL,Samoa,WSM,34514,38340,37335,37226,37107,36970,36808,36601,36341,36046,35780,..
Urban population,SP.URB.TOTL,San Marino,SMR,21809,25660,29899,30382,30876,31371,31814,32187,32469,32685,32848,..
Urban population,SP.URB.TOTL,Sao Tome and Principe,STP,52032,76002,117155,121904,126532,131019,135469,139949,144478,149038,153635,..
Urban population,SP.URB.TOTL,Saudi Arabia,SAU,12432320,16499665,22508632,23264870,24058860,24865453,25648738,26382755,27057429,27678169,28255384,..
Urban population,SP.URB.TOTL,Senegal,SEN,2927432,3950446,5549606,5759380,5977690,6204708,6440431,6685973,6941404,7207019,7481990,..
Urban population,SP.URB.TOTL,Serbia,SRB,3822813,3966301,4009779,3994308,3985121,3973872,3963388,3951845,3939250,3927608,3916391,..
Urban population,SP.URB.TOTL,Seychelles,SYC,34246,40917,47880,46973,47790,49055,50219,51754,52859,53922,54855,..
Urban population,SP.URB.TOTL,Sierra Leone,SLE,1436407,1633299,2492859,2575940,2661001,2748063,2837172,2928221,3021533,3117883,3217272,..
Urban population,SP.URB.TOTL,Singapore,SGP,3047132,4027887,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,..
Urban population,SP.URB.TOTL,Sint Maarten (Dutch part),SXM,..,30519,34056,33435,34640,36607,37685,38825,39969,40574,40654,..
Urban population,SP.URB.TOTL,Slovak Republic,SVK,2993564,3030239,2948302,2937801,2935234,2930811,2926070,2922832,2922095,2923642,2926461,..
Urban population,SP.URB.TOTL,Slovenia,SVN,1006873,1009459,1078743,1085605,1092516,1098614,1104335,1109788,1115536,1121491,1127565,..
Urban population,SP.URB.TOTL,Solomon Islands,SLB,42654,65254,105826,111055,116607,122454,128547,134857,141374,148108,155047,..
Urban population,SP.URB.TOTL,Somalia,SOM,2142818,2949758,4734450,5074284,5284312,5502041,5729048,5966600,6215568,6476256,6749317,..
Urban population,SP.URB.TOTL,South Africa,ZAF,19149881,25582579,31866171,32630538,33429132,34249974,35079618,35905874,36724030,37534797,38339668,..
Urban population,SP.URB.TOTL,South Sudan,SSD,729201,1023148,1698194,1772671,1842403,1906880,1965953,2020116,2068143,2110795,2152927,..
