Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Burundi,BDI,189021758.4,107858715.5,438394337.3,552470250.2,711045615.5,675595584.2,655137799.9,603828555.5,527176200.9,647771297,676112757.4,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cabo Verde,CPV,119829362.1,222345361.7,805639464.4,1040267089,829856041.7,811291226.1,866701991.3,629178642.9,687435654.8,849341581.3,959518006.5,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cambodia,KHM,..,1935729763,6587517405,8147785680,9211596155,10679623071,12021985932,13285145515,14119418262,15501619464,18806463876,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cameroon,CMR,1430041699,1473223249,4625896014,6232483987,6031217116,6277076732,7011114813,5588980899,4827149065,4827133376,5717531344,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Canada,CAN,1.20638E+11,2.43653E+11,4.01726E+11,4.61045E+11,4.75084E+11,4.73064E+11,4.75033E+11,4.29445E+11,4.1306E+11,4.42496E+11,4.68579E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,918418792.7,965128815.3,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Central African Republic,CAF,241592019.6,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Chad,TCD,259453308.4,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Chile,CHL,7089200000,17028810000,55216025752,70665531276,75454633024,74754501796,68598849439,58608965865,55854733591,61499962760,70782959178,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,China,CHN,42354000000,1.24897E+11,1.23999E+12,1.5791E+12,1.66195E+12,1.78961E+12,1.80872E+12,1.56656E+12,1.50064E+12,1.74027E+12,2.02227E+12,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Colombia,COL,5108000000,11042499113,38405832816,52125545572,56648290244,57103075809,61539344538,52050752073,43238949428,44247175427,49582576422,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Comoros,COM,45228413.27,..,177513311.9,199736909.7,217829162.2,..,240708648.8,185304455.2,184155447.9,210662018.8,244742307.7,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Congo, Dem. Rep.",COD,..,..,8042500000,8915600000,8677239103,10808444682,12706297174,10574609454,12148807505,11340009688,14972692991,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Congo, Rep.",COG,512736153.1,455276406.9,3969632982,4178076029,4088583844,4284464496,5402625840,5787297067,5071048174,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Costa Rica,CRI,1796700000,5180937181,11040420104,13328708868,14270608616,14425143237,14784329141,14059490160,14526327122,15150322864,15862847230,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cote d'Ivoire,CIV,..,..,7788624608,6666551280,9056744044,9055199204,9094583367,8561991547,7810109086,8487125603,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Croatia,HRV,..,6632472195,18522267465,21076622536,19232524954,20571706829,21434053053,19282456345,19757226412,23534742087,25404007848,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Curacao,CUW,..,..,..,2100156425,2237435754,1883307263,1803687151,1518519553,1426346369,1468960894,1735810056,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Cyprus,CYP,2504366505,3556606002,9757308374,10142584693,8758411289,7845149928,7917765440,6781557972,7487272324,8781786997,9757354278,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Czech Republic,CZE,..,25544095996,1.12974E+11,1.33616E+11,1.27786E+11,1.28469E+11,1.35908E+11,1.20528E+11,1.20515E+11,1.34956E+11,1.51723E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Denmark,DNK,31197340384,43442836591,85208376996,1.01088E+11,97155636296,1.01643E+11,1.03555E+11,88971234800,86809906900,95876688964,1.05331E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Djibouti,DJI,..,206537212.8,373889410.9,510581191.9,564435266.5,570742906,663529411.8,870515417.5,705176682.4,767932703.1,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Dominica,DMA,103948148.1,130388888.9,196921632.2,198936543.7,183316057.8,178635586.7,202644622.7,195356740.7,187986335.6,174065827.9,265762963,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Dominican Republic,DOM,1792800000,6416000000,15209900000,17301600000,17673300000,16801200000,17273100000,16906500000,17398600000,17734300000,20208900000,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Ecuador,ECU,1715000000,3653382345,19635073726,23378937193,24512948909,26109329087,26653974326,20692541799,15852051137,19300831769,22379791444,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Egypt, Arab Rep.",EGY,10302500000,15382000000,45144500000,47311500000,52350400000,48918100000,56446400000,50419900000,51066100000,52404100000,57635387500,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,El Salvador,SLV,1309501095,3514500000,7495374374,9014775909,9159041661,9684183024,9581001124,9407327325,8975940027,9512336401,10670971508,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Equatorial Guinea,GNQ,53172502.07,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Eritrea,ERI,..,471263649.1,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Estonia,EST,..,2815986132,10445382754,14952616112,15440881362,15791082994,15964341383,12836310513,13328262358,14547513149,16190649330,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Eswatini,SWZ,585934291.7,1056597750,1953922457,1835288163,1779455446,1693689455,1684390547,1491809266,1449034352,1606019440,1807093045,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Ethiopia,ETH,912077294.7,1131380361,7364532216,8328868376,10547290512,10790783648,13768140261,14976930462,14728090322,14236074619,13725751702,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Faroe Islands,FRO,..,514590000,744694411.6,949025029,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Fiji,FJI,641633231.9,763037190.5,1558660925,1924143250,1974595495,2301273810,2236924647,1879456168,1920570774,2077711551,2362005650,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Finland,FIN,25454819309,31331994706,65212227092,79636089631,73636787505,75136295102,73080758910,56905966122,58458765192,65565596586,73456887642,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,France,FRA,2.20789E+11,2.92717E+11,5.71216E+11,6.77235E+11,6.30559E+11,6.3899E+11,6.37038E+11,5.54026E+11,5.56913E+11,6.1007E+11,6.69731E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,French Polynesia,PYF,..,..,1732150277,1777876889,1698124584,1782680703,1746687947,1498869340,1487743958,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Gabon,GAB,805098601.4,798060301.2,3125800174,3655854804,3645371361,4049339827,3852053804,3171354403,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Gambia, The",GMB,145005855.3,..,245762740.7,292985196.2,325935524.5,298288538,330419020.4,336022729.3,310492959.3,426141442,520088595.8,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Georgia,GEO,..,1013301784,5021340415,6722567599,7685207566,7697005713,8280714563,6972980228,6747227737,7379116075,8522279476,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Germany,DEU,3.24091E+11,4.5849E+11,9.99138E+11,1.20345E+12,1.1173E+12,1.15237E+12,1.17882E+12,1.01878E+12,1.02454E+12,1.13345E+12,1.26458E+12,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Ghana,GHA,1205000000,2766555192,10922100000,15837733213,17763163562,17600235990,14600029644,13465053156,12910204931,12647770000,13134075353,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Greece,GRC,16564000000,30320946979,59785809475,65380913501,53157220535,63315640334,65127203235,47121117240,47087774930,54091782783,64740591423,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Grenada,GRD,106262963,220940740.7,285573046.7,295295244.4,300315253.3,324224690.4,305760094.9,307073173.6,307686682.6,369853211.6,401293037,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Guatemala,GTM,1428000000,4742000000,12806515500,15482043920,15837722938,16358778247,17055879300,16380578200,15767000000,17110300000,18307400000,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Guinea,GIN,585750000,585850895.4,1398490000,2097100000,2243980000,2139050000,2372416833,2191754719,4429383266,3483980000,3385640000,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Guinea-Bissau,GNB,68070000,..,196571190.7,240210086.3,181761151.3,182831335.8,214159683.9,206932626.5,136517070,290699852.7,293108104.7,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Guyana,GUY,..,550100000,1419078768,1770522516,1996735110,1874905179,1791268270,1352814227,1340624974,1426643322,2018171265,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Haiti,HTI,442600000,1086720000,3010070346,3314456870,3079329825,3340641062,3666152065,3449376951,3183327799,3617677280,4484317894,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Honduras,HND,907000000,2679944500,6605737887,8355941673,8620119101,8384481062,8514572990,8659659366,8166376152,8793850592,9488230215,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Hong Kong SAR, China",HKG,..,1.64278E+11,3.85609E+11,4.45143E+11,4.8731E+11,5.34125E+11,5.46518E+11,5.24598E+11,5.18254E+11,5.63387E+11,6.01581E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Hungary,HUN,8617057835,28761433461,84232234636,95839092513,86152284643,88869344028,95218547627,82529244483,82557713333,94464473858,1.06592E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Iceland,ISL,1509237078,2414539423,3599437926,4537222063,4510244338,4532944924,4960922402,4926206515,5315618576,6526057127,7179179404,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,India,IND,23437059205,53887205924,3.60146E+11,4.75304E+11,4.99989E+11,4.81686E+11,4.72434E+11,4.09237E+11,3.7609E+11,4.52241E+11,5.18779E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Indonesia,IDN,21455000000,40365380000,1.18963E+11,1.57284E+11,1.78667E+11,1.76256E+11,1.6831E+11,1.35076E+11,1.29152E+11,1.50069E+11,1.81164E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Iran, Islamic Rep.",IRN,18330000000,15207000000,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Iraq,IRQ,..,..,37328000000,40633000000,50155000000,53821700000,49811500000,40347112000,29077000000,32185600000,38875700000,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Ireland,IRL,..,..,62109598145,67238180960,63605803311,66099353433,94062314732,96412177082,92108090569,1.00112E+11,1.21717E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Israel,ISR,15306900000,34747200000,58237000000,72504900000,70422700000,70630200000,71088400000,60503000000,63902500000,68523200000,77139200000,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Italy,ITA,1.71848E+11,2.25112E+11,4.64435E+11,5.3247E+11,4.63498E+11,4.55474E+11,4.54729E+11,3.90613E+11,3.84999E+11,4.29208E+11,4.77097E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Jamaica,JAM,1692700000,3004300000,4629377587,5881414416,5634166724,5458172289,5207612913,4449380910,4072005711,4904331412,5437399950,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Japan,JPN,..,3.36333E+11,6.26912E+11,7.94425E+11,8.30124E+11,7.84588E+11,7.99005E+11,6.29373E+11,5.84658E+11,6.44829E+11,7.24465E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Jordan,JOR,2300710330,4073693981,13822394366,16825633803,18431126761,19560563380,20350985915,18165633803,17136478873,18206056338,17968873239,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Kazakhstan,KAZ,..,7060340912,32891499209,40349828276,46657682105,49165929610,42453772847,33199293520,26232437820,30573204039,34246667479,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Kenya,KEN,2005344443,3021577321,11442207432,14188868539,15526910605,16089450652,16929142272,14357594688,13413052430,15993822016,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Kiribati,KIR,26934015.41,..,70489892.5,88680959.48,104080054.6,105337267.7,104791592.2,100447930.1,107330120.5,113732073.6,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Korea, Rep.",KOR,63550700000,1.54131E+11,4.15902E+11,5.59199E+11,5.55076E+11,5.38134E+11,5.27252E+11,4.22808E+11,3.95464E+11,4.66717E+11,5.13571E+11,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Kosovo,XKX,..,..,2695118177,3291196505,2989115253,3038302383,3158946790,2695000818,2876613870,3225504840,3668524735,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Kuwait,KWT,3809953026,6451474442,19569216700,22597216656,24241446997,25576252707,27384704019,27342757606,26562436858,29526868427,31369500436,..
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,Kyrgyz Republic,KGZ,..,506216118.7,2934924735,3896649001,5096603193,5530629165,5203541235,3791400265,3708883851,4159459025,4513753393,..
