Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Central African Republic,CAF,..,..,1.44,..,1.69,..,1.69,..,1.66,..,1.4,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Chad,TCD,..,0.6,1.32,..,1.31,..,1.16,..,0.99,..,0.85,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Chile,CHL,..,0.47,0.95,..,1.02,..,1.24,..,1.09,..,0.65,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,China,CHN,..,0.45,1.01,..,1.04,..,1.28,..,1.09,..,0.81,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Colombia,COL,..,0.35,0.73,..,0.95,..,1.18,..,1.04,..,0.64,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,"Congo, Dem. Rep.",COD,..,0.93,1.21,..,1.27,..,1.48,..,1.67,..,1.2,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,"Congo, Rep.",COG,..,0.3,0.57,..,0.84,..,0.92,..,0.9,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Costa Rica,CRI,..,..,1.1,..,0.97,..,1.36,..,1.21,..,0.79,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Cote d'Ivoire,CIV,..,0.51,1.2,..,1.3,..,1.2,..,1.17,..,0.93,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Croatia,HRV,..,0.6,1.37,..,1.49,..,1.7,..,1.59,..,1.17,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Cuba,CUB,..,..,1.51,..,1.24,..,1.3,..,1.2,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Cyprus,CYP,..,0.18,1.25,..,1.47,..,1.78,..,1.65,..,1.23,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Czech Republic,CZE,..,0.68,1.45,..,1.69,..,1.87,..,1.6,..,1.11,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Denmark,DNK,..,0.9,1.54,..,1.79,..,1.89,..,1.8,..,1.35,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Djibouti,DJI,..,..,..,..,1.07,..,1.18,..,1.21,..,0.98,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Dominican Republic,DOM,..,0.39,0.94,..,1.03,..,1.35,..,1.21,..,0.91,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Ecuador,ECU,..,0.18,0.27,..,0.28,..,0.29,..,0.29,..,0.29,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,"Egypt, Arab Rep.",EGY,..,0.1,0.2,..,0.19,..,0.18,..,0.25,..,0.15,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,El Salvador,SLV,..,0.4,0.81,..,0.89,..,1.17,..,1.02,..,0.7,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Eritrea,ERI,..,0.33,1.07,..,1.07,..,1.71,..,3,..,1.33,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Estonia,EST,..,0.55,1.3,..,1.57,..,1.76,..,1.51,..,1.14,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Eswatini,SWZ,..,0.44,0.93,..,1.1,..,1.34,..,1.16,..,0.77,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Ethiopia,ETH,..,0.27,0.89,..,0.78,..,0.94,..,0.89,..,0.64,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Fiji,FJI,..,..,1.04,..,..,..,1.29,..,1.18,..,0.67,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Finland,FIN,..,0.84,1.39,..,1.6,..,1.95,..,1.78,..,1.34,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,France,FRA,..,0.82,1.45,..,1.72,..,1.78,..,1.63,..,1.2,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,French Polynesia,PYF,..,..,1.39,..,1.56,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Gabon,GAB,..,0.37,0.9,..,..,..,0.91,..,0.9,..,0.79,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,"Gambia, The",GMB,..,0.47,0.75,..,..,..,..,..,1.29,..,1.06,..,..,..
