Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Serbia,SRB,..,0.56,1.14,..,1.48,..,1.8,..,1.66,..,1.21,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Sierra Leone,SLE,..,..,0.91,..,0.94,..,1.05,..,1.04,..,1.08,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Singapore,SGP,..,0.38,0.9,..,1.04,..,1.26,..,1.16,..,0.77,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Slovak Republic,SVK,..,0.68,1.68,..,1.53,..,1.85,..,1.61,..,1.16,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Slovenia,SVN,..,0.66,1.26,..,1.62,..,1.77,..,1.68,..,1.21,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Somalia,SOM,..,..,1.15,..,..,..,..,..,..,..,1.18,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,South Africa,ZAF,..,0.5,0.95,..,1.14,..,1.42,..,1.17,..,0.9,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,South Sudan,SSD,..,..,1.25,..,1.07,..,1.97,..,1.98,..,0.28,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Spain,ESP,..,0.65,1.28,..,1.47,..,1.75,..,1.55,..,1.13,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Sri Lanka,LKA,..,0.27,0.75,..,0.66,..,0.93,..,0.9,..,0.65,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Sudan,SDN,..,0.24,0.45,..,0.43,..,0.42,..,0.55,..,0.61,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Suriname,SUR,..,0.41,..,..,1.12,..,1.52,..,1.34,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Sweden,SWE,..,0.8,1.52,..,1.82,..,2.16,..,1.82,..,1.42,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Switzerland,CHE,..,0.84,1.52,..,1.77,..,2.06,..,1.79,..,1.46,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Syrian Arab Republic,SYR,..,0.13,0.53,..,0.45,..,0.36,..,0.47,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Tajikistan,TJK,..,0.55,1,..,0.91,..,..,..,1.18,..,0.69,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Tanzania,TZA,..,0.73,1.3,..,1.19,..,1.27,..,1.2,..,0.8,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Thailand,THA,..,0.35,0.64,..,0.95,..,0.97,..,0.9,..,0.68,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Timor-Leste,TLS,..,..,1.35,..,0.9,..,1.43,..,1.6,..,0.8,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Togo,TGO,..,0.4,0.88,..,1.17,..,1.22,..,1.29,..,0.71,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Trinidad and Tobago,TTO,..,0.2,..,..,..,..,..,..,..,..,0.3,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Tunisia,TUN,..,0.29,0.84,..,0.82,..,0.69,..,0.68,..,0.62,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Turkey,TUR,..,0.66,1.63,..,2.03,..,2.33,..,1.9,..,1.23,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Turkmenistan,TKM,..,0.02,0.2,..,0.2,..,0.2,..,0.2,..,0.27,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Uganda,UGA,..,0.75,1.22,..,1.11,..,1.35,..,1.11,..,0.79,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Ukraine,UKR,..,0.3,0.96,..,0.92,..,1.25,..,1.16,..,0.73,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,United Arab Emirates,ARE,..,0.26,0.62,..,0.71,..,0.64,..,0.64,..,0.52,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,United Kingdom,GBR,..,1.22,1.65,..,1.98,..,2.27,..,1.99,..,1.49,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,United States,USA,..,0.48,0.78,..,0.84,..,1.05,..,0.97,..,0.65,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Uruguay,URY,..,0.53,1.17,..,1.44,..,1.88,..,1.72,..,1.36,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Uzbekistan,UZB,..,0.09,0.75,..,0.83,..,0.87,..,1.93,..,1.28,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,1.2,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,"Venezuela, RB",VEN,..,0.06,0.01,..,0.011,..,0.011,..,0.008,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Vietnam,VNM,..,0.27,0.77,..,0.77,..,1.06,..,0.91,..,0.59,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,West Bank and Gaza,PSE,..,0.61,1.25,..,1.54,..,1.68,..,1.63,..,1.41,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,"Yemen, Rep.",YEM,..,0.06,0.17,..,0.23,..,0.47,..,0.7,..,0.76,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Zambia,ZMB,..,..,1.61,..,1.52,..,1.48,..,1.59,..,1.16,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Zimbabwe,ZWE,..,0.72,1.05,..,1.15,..,1.4,..,1.48,..,1.18,..,..,..
