Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,St. Kitts and Nevis,KNA,133333.3333,825925.9259,1941085.556,2035227.778,2073488.148,2157114.444,3039400.909,2556748.679,2655552.234,1392684.97,1751863.967,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,St. Lucia,LCA,..,1570370.37,3927893.333,3983168.519,3900162.963,3940647.407,8302615.378,7788039.63,8491747.87,8895765.87,9220367.794,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,St. Vincent and the Grenadines,VCT,..,544444.4444,3244542.963,3336221.481,3237292.593,3383282.222,3761884.433,3065919.2,3356214.685,2852259.85,2972757.322,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Sudan,SDN,..,100000,11370686.95,1415921.793,4000,55602.66695,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Suriname,SUR,..,..,..,1229854.047,5796374.94,9885400.824,13859448.62,19711049.47,22703601.25,12501500.5,8648843.212,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Sweden,SWE,742804561.9,991779879.2,1498265136,1924300998,2478866959,2787187425,3845419141,4172708008,3336027780,5116263213,4863294208,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Switzerland,CHE,..,880291257.9,8024802996,10650115899,11481430194,12143390758,14072693743,13037714757,12245083135,12649115805,13644795010,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Syrian Arab Republic,SYR,..,..,36553806.34,..,..,..,..,..,..,..,..,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Tajikistan,TJK,..,..,..,..,..,..,..,..,..,88852.47296,36620,..
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Tanzania,TZA,..,3700006.857,270000,400000,851853.3333,2719346.667,1098666.333,2007390,1402980,3848000,6132091.74,..
