Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Portugal,PRT,..,0.77,1.61,..,1.85,..,2.15,..,1.89,..,1.54,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Qatar,QAT,..,..,0.22,..,0.19,..,0.27,..,0.23,..,0.4,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Romania,ROU,..,0.46,1.11,..,1.46,..,1.7,..,1.59,..,1.16,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Russian Federation,RUS,..,0.33,0.89,..,0.84,..,0.99,..,0.81,..,0.59,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Rwanda,RWA,..,0.89,1.37,..,1.63,..,1.73,..,1.41,..,1.17,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Samoa,WSM,..,..,..,..,1.03,..,..,..,..,..,0.91,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Saudi Arabia,SAU,..,0.24,0.16,..,0.16,..,0.16,..,0.16,..,0.24,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Senegal,SEN,..,0.73,1.35,..,1.57,..,1.72,..,1.7,..,1.14,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Serbia,SRB,..,0.56,1.29,..,1.5,..,1.78,..,1.55,..,1.16,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Sierra Leone,SLE,..,..,0.91,..,0.94,..,1.05,..,1.04,..,1.08,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Singapore,SGP,..,0.84,1.07,..,1.42,..,1.68,..,1.58,..,1.25,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Slovak Republic,SVK,..,0.69,1.57,..,1.7,..,1.98,..,1.77,..,1.32,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Slovenia,SVN,..,0.63,1.18,..,1.67,..,1.86,..,1.78,..,1.32,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Somalia,SOM,..,..,1.12,..,..,..,..,..,..,..,1.41,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,South Africa,ZAF,..,0.5,0.87,..,1.19,..,1.38,..,1.19,..,0.92,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,South Sudan,SSD,..,..,1.59,..,1.5,..,1.97,..,1.98,..,0.28,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Spain,ESP,..,0.73,1.23,..,1.56,..,1.75,..,1.63,..,1.26,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Sri Lanka,LKA,..,0.66,1.43,..,1.19,..,1.29,..,1.27,..,0.88,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,St. Lucia,LCA,..,..,..,..,..,..,..,..,1.3,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Sudan,SDN,..,0.28,0.65,..,0.62,..,0.63,..,0.82,..,0.95,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Suriname,SUR,..,0.56,0.91,..,1.14,..,1.57,..,1.29,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Sweden,SWE,..,0.94,1.38,..,1.87,..,2.1,..,1.82,..,1.42,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Switzerland,CHE,..,0.78,1.3,..,1.66,..,1.88,..,1.74,..,1.45,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Syrian Arab Republic,SYR,..,0.44,0.85,..,0.96,..,0.79,..,0.83,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Tajikistan,TJK,..,0.45,1.03,..,1.02,..,1.45,..,1.32,..,0.71,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Tanzania,TZA,..,0.75,1.11,..,1.22,..,1.31,..,1.29,..,0.87,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Thailand,THA,..,0.39,0.87,..,1.41,..,1.56,..,1.29,..,0.71,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Timor-Leste,TLS,..,..,1.22,..,1.4,..,1.65,..,1.17,..,1.1,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Togo,TGO,..,0.48,0.89,..,1.18,..,1.16,..,1.25,..,0.71,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Trinidad and Tobago,TTO,..,0.39,0.36,..,..,..,..,..,..,..,0.54,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Tunisia,TUN,..,0.49,0.96,..,0.94,..,0.93,..,0.91,..,0.73,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Turkey,TUR,..,0.88,1.87,..,2.52,..,2.54,..,2.06,..,1.42,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Turkmenistan,TKM,..,0.02,0.22,..,0.22,..,0.22,..,0.22,..,0.29,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Uganda,UGA,..,0.86,1.3,..,1.42,..,..,..,1.4,..,0.94,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Ukraine,UKR,..,0.37,0.88,..,1.01,..,1.35,..,1.17,..,0.83,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,United Arab Emirates,ARE,..,0.25,0.45,..,0.47,..,0.47,..,0.47,..,0.49,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,United Kingdom,GBR,..,1.17,1.44,..,1.92,..,2.17,..,1.92,..,1.46,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,United States,USA,..,0.47,0.56,..,0.76,..,0.97,..,0.76,..,0.71,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Uruguay,URY,..,1.19,1.18,..,1.49,..,1.97,..,1.8,..,1.5,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Uzbekistan,UZB,..,0.14,1.35,..,0.92,..,1.02,..,1.02,..,1.03,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,1.31,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,"Venezuela, RB",VEN,..,0.12,0.02,..,0.023,..,0.023,..,1.50E-02,..,0.00008,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Vietnam,VNM,..,0.38,0.8,..,0.88,..,1.15,..,1.04,..,0.8,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,West Bank and Gaza,PSE,..,1.08,1.34,..,1.71,..,1.87,..,1.77,..,1.54,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,"Yemen, Rep.",YEM,..,0.21,0.3,..,0.35,..,0.58,..,0.7,..,0.92,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Zambia,ZMB,..,..,1.7,..,1.66,..,1.48,..,1.68,..,1.4,..,..,..
Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Zimbabwe,ZWE,..,0.85,1.3,..,1.29,..,1.52,..,1.56,..,1.34,..,..,..
